document,true_category
"This year has also seen a resurgence of moviegoing from younger audiences, who have made hits out of movies like ""Obsession,"" ""Backrooms"" and ""The Drama,"" which also starred Zendaya. They're also helping blockbusters soar, and in a business that is partly propelled by momentum, ""Spider-Man"" had the benefit of coming after ""The Odyssey,"" which fell only 43% in its third weekend. ""The Odyssey"" has now earned $395.5 million domestically, bringing its global total to $911.4 million. The film will soon open in South Korea (Aug. 5), China (Aug. 14) and Japan (Sept. 11). Its studio, Universal, also became the first this year to surpass $4 billion globally thanks in part to ""Michael,"" which it distributed internationally, and ""The Super Mario Galaxy Movie."" A slew of animated PG-rated holdovers rounded out the top five: ""Toy Story 5"" was in third place with $6.3 million, followed by ""Minions & Monsters"" in fourth and ""Moana,"" in fifth. And there were bright spots further down the chart as well. In sixth place with $2 million, ""Hadestown: The Musical"" surpassed ""Hamilton"" to become the highest grossing live theater capture release ever with a running total of $18.2 million.",Entertainment
"Paul Dergarabedian, the head of marketplace trends for Rentrak, said the ""Spider-Man"" effect could help the summer movie season surpass the $4 billion mark for the first time since the Barbenheimer summer of 2023, and the third-ever billion dollar August. ""This is perhaps the most important summer moviegoing season in the history of the business,"" Dergarabedian said. August, he added, ""could set up a home stretch of the box office year like no other and one that could push us over that $10 billion mark."" Top 10 movies by domestic box office",Entertainment
"With final domestic figures being released Monday, this list factors in the estimated ticket sales for Friday through Sunday at U.S. and Canadian theaters, according to Rentrak: 1. ""Spider-Man: Brand New Day,"" $355 million. 3. ""Toy Story 5,"" $6.3 million.",Entertainment
"4. ""Minions & Monsters,"" $5.8 million. 6. ""Hadestown: The Musical,"" $2 million. 8. ""I Want Your Sex,"" $600,000.",Entertainment
"The French Embassy in Nepal has celebrated the international success of Nepali film Elephants in the Fog, which won the Jury Prize in the Un Certain Regard section at the 2026 Cannes Film Festival. French Ambassador to Nepal Virginie Corteval hosted a reception at her residence on Thursday in honour of the film and its production team. The film, directed by Abinash Bikram Shah, is a co-production involving Nepal, France, Germany, Brazil and Norway. It also received support from Institut Français through its La Fabrique programme.",Entertainment
"Speaking at the event, Ambassador Corteval said the recognition at Cannes reflected Nepal's growing creative potential and the strength of its storytelling tradition. Director Shah expressed gratitude to the film's supporters and international funding partners, stating that such support helps preserve and amplify local stories that might otherwise struggle to reach global audiences. The reception was attended by members of the film crew, Kathmandu Metropolitan City's Acting Mayor Sunita Dangol, media representatives and figures from Nepal's film industry.",Entertainment
"The award marks a significant achievement for Nepali cinema, bringing international recognition to a film centred on themes of resilience, survival and marginalized communities.",Entertainment
"Hannah Montana taught a lot of young girls that ""the best of both worlds"" can actually be achieved. When the show premiered on Disney Channel in 2006, it quickly became an iconic cultural moment. Now, in 2026, the first trailer for Disney+'s Hannah Montana 20th Anniversary Special has just dropped, leaving fans excited and nostalgic in equal measure. The special will be released on March 24th on Disney+. Starring Miley Cyrus as Miley Stewart, an ordinary teenage girl who, by slipping on her iconic blonde wig, lived a double life as superstar Hannah Montana, the show still resonates deeply with viewers two decades later. That staying power is not accidental. On the surface, Hannah Montana was a classic Disney Channel premise: a kid with a secret. But what the show tapped into was something much more lasting, the universal feeling of not quite knowing who you are, and wondering if the world would even like the real version of you. Miley Stewart wasn't just hiding fame. She was figuring out identity, the same way every teenager does. That tension is what made the show endure.",Entertainment
"The double-life concept turned out to be surprisingly ahead of its time. Before social media made curated personas a fact of daily life, Hannah Montana was already asking: what does it cost to be two versions of yourself? What do you owe the public, and what do you get to keep? These are questions that feel remarkably current in 2026, in an era where influencer culture, personal branding, and online identity are concerns even preteens must navigate. It is impossible to talk about Hannah Montana without talking about the music. Songs like Best of Both Worlds, Nobody's Perfect, and The Climb were the soundtrack to middle school dances, family road trips, and late-night sleepovers for millions of young people going through some of the most formative years of their lives. The Best of Both Worlds concert tour in 2007-08 sold out in minutes, and the concert film that followed became a box office success. That music has left an enduring footprint. Look at today's pop landscape and the fingerprints of Hannah Montana are everywhere. According to Rolling Stone, Sabrina Carpenter watched the pilot at six years old and immediately knew she wanted to sing, act, and perform, with the show setting the blueprint for the career she went on to build. Chappell Roan has openly credited the show as the starting point for her own ambitions, even performing in Hannah Montana drag at an early New York concert. Even Katseye, one of today's newest girl groups, could not escape the influence. When Jimmy Fallon brought up Miley Cyrus in a recent interview, Sophia Laforteza immediately said Hannah Montana, and the whole group agreed they grew up watching the show. As Rolling Stone observed, we are living through the Hannah Montana Generation of pop stars, young artists not just evoking the bold aesthetic and unapologetically upbeat music of the show, but embodying the larger-than-life persona that Montana represented.",Entertainment
"The announcement of the 20th anniversary special did not simply generate excitement. It generated something more personal. When Miley Cyrus put the wig back on, social media responded immediately. People were not just reacting to a reunion; they were reconnecting with a version of themselves they had not thought about in years. The audience that grew up with the show is mostly in their 20s or early 30s now, an age at which nostalgia tends to carry particular weight. There is real comfort in revisiting something that made you feel safe and seen during childhood. For a generation that grew up online, experienced a global pandemic in young adulthood, and now faces significant economic uncertainty, revisiting Hannah Montana is less about regression and more about reassurance. What is perhaps most remarkable about the show's legacy is how quietly it has been shaping things all along. It normalised the idea that a young person could be ambitious, funny, a little messy, deeply loyal, and still figuring themselves out, all at the same time. It gave an entire generation permission to be multidimensional before that was widely celebrated. Miley Cyrus herself became a living embodiment of that idea, a public example of what it looks like to keep growing past the version of yourself that the world first fell in love with. From Bangerz to Endless Summer Vacation to her first Grammy wins, she has consistently refused to be defined by what came before. Twenty years later, what Hannah Montana built on Disney Channel still shapes how a generation thinks about identity, ambition, and what it means to be yourself in a world that is always watching. That conversation is more relevant than ever.",Entertainment
"Suno CEO Mikey Shulman pulls up a chair to the recording studio desk where a research scientist at his artificial intelligence company is creating a new song. The flute line sounds promising. Neither of them is playing an instrument. They type some descriptive words – Afrobeat, flute, drums, 90 beats per minute – and out comes an infectious rhythm that livens up the 19th century office building where Suno is headquartered in Cambridge, Massachusetts. They toggle some editing tools to refine the new track.",Entertainment
"Much like early experiences with ChatGPT or AI text-to-image generators, trying to make an AI-generated song on platforms like Suno or its rival, Udio, can seem a little like magic. It takes no musical skills, practice or emotional wellspring to conjure up a new tune inspired by almost any of the world's musical traditions. But the process of training AI on beloved musicians of the past and present to produce synthetic approximations of their work has angered the music industry and brought much of its legal power against the two startups. Now, after their users have flooded the internet with millions of AI-generated songs, some of which have found themselves on streaming services like Spotify, the leaders of Suno and New York-based Udio are trying to negotiate with record labels to secure a foothold in an industry that shunned them.",Entertainment
"""We have always thought that working together with the music industry instead of against the music industry is the only way that this works,"" said Shulman, who co-founded Suno in 2022. ""Music is so culturally important that it doesn't make sense to have an AI world and a non-AI world of music."" Sony Music, Universal Music and Warner Records sued the two startups for copyright infringement in 2024, alleging that they were exploiting the recorded works of their artists. Since then, the pair have strived to make peace with the industry. Suno, now valued at $2.45 billion, last year struck a settlement with Warner, and Udio has signed licensing agreements with Warner, Universal and independent label Merlin. Only one major label, Sony, has not settled with either startup as the lawsuits move forward in Boston and New York federal courts. Suno also faces legal challenges in Europe brought by groups representing music creators.",Entertainment
"The first of the settlement deals, between Udio and Universal, led to an exodus of frustrated Udio users who were blocked from downloading their own AI-generated tracks. But Udio CEO Andrew Sanchez said he's optimistic about what the future will bring as his company adapts its business model to let fans of willing artists use AI to play with and potentially alter their works. ""Having a close relationship with the music industry is elemental to us,"" Sanchez said in an interview. ""Users really want to have an anchor to their favorite artists. They want to have an anchor to their favorite songs."" Many professional musicians are skeptical. Singer-songwriter Tift Merritt, co-chair of the Artists Rights Alliance, recently helped organize a ""Stealing Isn't Innovation"" campaign by artists - including Cyndi Lauper and Bonnie Raitt - to urge AI companies to pursue licensing deals and partnerships rather than build platforms without regard for copyright law.",Entertainment
"""The economy of AI music is built totally on the intellectual property, globally, of musicians everywhere without transparency, consent, or payment. So, I know they value their intellectual property, but ours has been consumed in order to replace us,"" Merritt said in an interview in Raleigh, North Carolina. Shulman contends technology ""evolves very often faster than the law,"" and his company tries to be thoughtful about ""not breaking the law"" but also ""deliver products that the world really wants."" Suno CEO doesn't really think 'people don't enjoy' making music",Entertainment
"When the music industry first confronted Suno over alleged copyright infringement, the company's antagonistic response alienated professionals like Merritt. Symbolizing the divide was a clip last year in which Shulman was quoted as saying, ""it's not really enjoyable"" to make music most of the time. Shulman started learning piano at age 4 but later dropped it. He took up bass guitar at 12, playing in rock bands in high school and college. He said that experience gave him some of the best moments of his life. ""You need to get really good at an instrument or really good at a piece of production software,"" Shulman said on the ""The Twenty Minute VC"" podcast. ""I think the majority of people don't enjoy the majority of the time they spend making music.""",Entertainment
"""Clearly, I wish I had said different words,"" Shulman told the AP. The context, he added, was that ""to produce perfect music takes a lot of repetitions and not all of those minutes are the most enjoyable bits of making music. On the whole, obviously, music is amazing. I play music every day for fun."" Udio CEO pitches his company as the friendly alternative Sanchez, the Udio CEO, also would like people to know he loves making music. He's an opera-loving tenor who's sung in choirs and grew up crooning Luciano Pavarotti in his family's home in Buffalo, New York.",Entertainment
"Founded in 2023 by a group that included several AI researchers from Google, the startup now employs about 25 people. It has fewer users and raised less capital than Suno, reducing its leverage in its negotiations with record labels. But like ride-hailing company Lyft, which pitched itself as the friendly alternative to Uber's aggressive expansion tactics more than a decade ago, Udio embraces its underdog status. ""So many tech companies actively cultivate this I-am-a-tech-company-crusader and that's part of their identity,"" Sanchez said. ""That alienates people who are creative and I am uniformly opposed to that.""",Entertainment
"Sanchez said he knows not every artist is going to embrace AI, but he hopes those who leave the room after talking with him realize he's not imposing a kind of ""AI bravado."" ""If you took what we're doing and pretended that the word AI wasn't a part of it, people would be like, 'Oh my gosh. This is so cool.'"" Some see potential in AI-assisted music creation",Entertainment
"In the basement office of his Philadelphia, Mississippi home, Christopher ""Topher"" Townsend is a one-man band, making and marketing Billboard-chart-topping gospel music - none of which he sings himself - and doing it in record time. The rapper, whose lyrics reflect his political conservatism, downloaded Suno in October and, within days, created Solomon Ray, a fictional singer that Townsend calls an extension of himself. Townsend uses ChatGPT to write lyrics, Suno to generate songs and other AI tools to create cover art and promotional videos under the Solomon Ray name.",Entertainment
"""I can see why artists would be afraid,"" Townsend said. ""(Solomon Ray) has an immaculate voice. He doesn't get sick. You know, he doesn't have to take leave, he doesn't get injured and he can work faster than I can work."" Trying to dispel that fear for aspiring artists is Jonathan Wyner, a professor of music production and engineering at the Berklee College of Music in Boston, who sees generative AI as just another tool. ""To the creative musician, AI represents both enormous potential benefits in terms of streamlining things and frankly making kinds of music-making possible that weren't possible before, and making it more accessible to people who want to make music,"" he said.",Entertainment
"Such a vision remains a tough sell for artists who feel their work has already been exploited. Merritt says she's particularly concerned about labels making deals with AI companies that leave out independent artists. An open letter she co-signed this week says ""many in our community are embracing responsible AI as a tool for creation"" but targets Suno as a ""smash and grab"" business that artists should avoid. ""Artists need to know the difference – all AI platforms are not the same, and Suno, which is being sued for copyright infringement, is not a platform artists should trust,"" says the letter from Merritt and six others.",Entertainment
"Globally acclaimed NepalI American fashion designer Prabal Gurung has been named International Guest of Honour for the 30th anniversary of the PayPal Melbourne Fashion Festival, scheduled to run from 14 to 28 February 2026. As part of the anniversary programme, Gurung will deliver the keynote address at the Australian Fashion Business Lunch on 25 February. He will also attend several Premium Runway events and engage with fashion students at a local university, sharing insights on building a global fashion career. Festival organisers said Gurung's appointment reflects the event's growing international profile and reinforces Melbourne's position as a leading fashion hub in the Asia-Pacific region.",Entertainment
"Speaking on the occasion, PayPal Melbourne Fashion Festival CEO Caroline Ralphsmith described Gurung's participation as a defining moment for the festival's milestone year, noting that his global influence brings significant international attention to Australian fashion. Gurung, who lived in Melbourne early in his career, said returning to the city for the festival was deeply personal. As the 2026 keynote speaker, he is expected to reflect on global travel, cultural exchange, his humanitarian work with Shikshya Foundation Nepal, and his recently released memoir Walk Like a Girl. Born in Singapore and raised in Kathmandu, Gurung began his fashion journey in New Delhi before studying at Parsons School of Design in New York. He is the founder of a New York-based label launched at New York Fashion Week in 2009 and currently serves as Vice Chair of the Council of Fashion Designers of America (CFDA).",Entertainment
"Gurung's designs have been worn by prominent global figures including Michelle Obama, Kamala Harris, Oprah Winfrey, Beyoncé, Zendaya, and Anne Hathaway.",Entertainment
"Neil Young is giving the people of Greenland the gift of song - his songs, that is. The veteran rocker announced Tuesday on his blog that he is providing free access to his entire music catalog to residents of Denmark's semiautonomous territory, whose futures have lately become a point of tension between the U.S. and NATO. ""I hope my music and music films will ease some of the unwarranted stress and threats you are experiencing from our unpopular and hopefully temporary government,"" Young wrote. ""It is my sincere wish for you to be able to enjoy all of my music in your beautiful Greenland home, in its highest quality.""",Entertainment
"The offer is for a year - though Young said renewing is possible - and applicants need to have a Greenland-based cellphone. ""This is an offer of Peace and Love,"" he wrote. Young's manager confirmed to The Associated Press the rocker's message was genuine. The offer is in stark contrast to Young's recent decision to deny listeners his catalog on the streaming Amazon Music platform, a swipe at its founder, Jeff Bezos, who has supported U.S. President Donald Trump.",Entertainment
"""Amazon is owned by Jeff Bezos, a billionaire backer of the president,"" Young wrote last week. ""The president's international policies and his support of ICE make it impossible for me to ignore his actions. If you feel as I do, I strongly recommend that you do not use Amazon."" A representative for Amazon Music didn't immediately respond for comment. Young has long sparred with streaming platforms, like when he pulled his music from Spotify in protest of podcaster Joe Rogan's episodes on COVID-19 vaccines. Young later relented and his music was added back.",Entertainment
"Young, whose hits include ""Rockin' in the Free World"" and ""Heart of Gold,"" has never been a huge fan of Spotify. At his insistence, much of his music was removed from the platform for several months beginning in 2015 because of his concerns about audio quality. But his music is there, as it is on Apple Music.",Entertainment
"Dharmendra, one of Indian cinema's biggest stars, passed away on Monday, November 24, at his Mumbai home at the age of 89. The actor, born Dharam Singh Deol on December 8, 1935, in Ludhiana, Punjab, appeared in over 300 films throughout his decades-long career. Best known for his role as Veeru, the lovable petty criminal in the 1975 blockbuster Sholay, Dharmendra became synonymous with charm and depth in Hindi cinema. He earned a reputation as a bankable actor, captivating audiences through diverse roles that struck a chord with countless viewers.",Entertainment
"Indian Prime Minister Narendra Modi paid tribute to the actor, describing his passing as marking ""the end of an era in Indian cinema."" Modi wrote that Dharmendra was ""an iconic film personality, a phenomenal actor who brought charm and depth to every role he played."" ""The manner in which he played diverse roles struck a chord with countless people. Dharmendra Ji was equally admired for his simplicity, humility and warmth. In this sad hour, my thoughts are with his family, friends and innumerable fans. Om Shanti,"" he further wrote in X. Filmmaker Karan Johar, who worked with Dharmendra, remembered him as ""the embodiment of a HERO in mainstream cinema"" and ""a bonafide Legend of Indian Cinema."" Johar noted that beyond his screen presence, Dharmendra ""was the best human being"" loved by everyone in the industry for his immense love and positivity.",Entertainment
"The Nepali documentary Zero to 8848 premiered at AMC North DeKalb 16, Atlanta, on Saturday, drawing a full audience including U.S. dignitaries and members of the Nepali community. Senator Sheikh Rahman, Clarkston Mayor Beverly H. Burks, and musician Om Bikram Bista attended the premiere as special guests. The event also saw participation from American officials and Nepali associations based in the U.S. Directed by Niranjan Pandey and Balram Budhathoki, with the concept by journalist Prem Baniya, the 106-minute film documents the journey from Kachankawal in Jhapa (58 m) to the summit of Mt. Everest (8,848 m)-the world's shortest route from sea level to the highest point on Earth.",Entertainment
"The film, produced by Zero to 8848 Entertainment with a budget of around USD 1 million, explores Nepal's geography, biodiversity, and culture while highlighting issues related to climate change. According to the organizers, Zero to 8848 will be screened in other U.S. states and later released internationally.",Entertainment
"A musical Paleti programme featuring renowned Darjeeling-based singer and composer Pawan Gole and musician Ramesh Gurung was held on Friday and Saturday evenings at Nepalaya's 'r' Sala in Kalikasthan, Kathmandu. In this edition of Paleti, singer Pawan Gole performed 16 songs, comprising both new and classic numbers. The programme featured compositions by various musicians, while eight of the songs were solo compositions by Ramesh Gurung. During the performance, Gole recalled his first appearance at Paleti 14 years ago. Similarly, Gurung noted his association with the programme dating back two decades. In 2006, he had accompanied veteran vocalist Dawa Gyalmo on the harmonium during a Paleti performance.",Entertainment
"The programme opened with a rendition of poet and lyricist Dinesh Adhikari's ""Mato Matra Desh Haina"", It was composed by late Dibya Khaling, the piece conveyed the idea that cultural identity extends beyond geographical boundaries. As in previous editions, the event was hosted by Paleti coordinator and singer-composer Abhas.",Entertainment
"Nepal's premier folk-rock band Nepathya concluded its series of performances in Canada with a grand musical show attended by a large audience in London, Ontario, despite it being a relatively small city. In a statement issued today, Nepalaya, the band's management company, said the group wrapped up its two-week tour with its final concert at the London Music Hall in London. As the two-hour-long performance progressed, the full-house audience swayed and sang along with Amrit Gurung as he delivered a blend of old and new songs.",Entertainment
"This year's Nepathya tour in Canada began in Sudbury and travelled through the country's major commercial hub, Toronto, before concluding with the London performance in Ontario. On stage, Amrit Gurung was accompanied by Dhruv Lama on drums, Subin Shakya on bass guitar, Niraj Gurung on guitar, Shanti Rayamajhi on madal, and Dineshraj Regmi on keyboards, collectively enriching the performance with their instrumental support. With the completion of the final show on Saturday, the 14-member team comprising artists, technicians, and management returned home.",Entertainment
"Following its performances in Canada-located in the northern reaches of the globe-Nepathya is set to embark next month on a tour of New Zealand in the Southern Hemisphere, situated in the Pacific Ocean, the statement added. All the pictures captured during the London concert were provided by Nepalaya/Dipit Raz.",Entertainment
"Natalie Portman is expecting her third child at age 44. The actor told Harper's Bazaar she is ""very grateful"" to be welcoming a child with partner Tanguy Destable, 45, a French electronic music producer known by his stage name, Tepr. ""Tanguy and I are very excited,"" she told the outlet. ""I'm just very grateful. I know it's such a privilege and a miracle.""",Entertainment
"The actor shares two older children, son Aleph, 14, and daughter Amalia, 9, with ex-husband Benjamin Millepied. Portman and Millepied divorced in 2024. A publicist for Portman, Keleigh Morgan, confirmed news of the pregnancy but did not give further details. Portman has spoken about how she grew up the child of a fertility doctor.",Entertainment
"""I grew up hearing about how hard it is to get pregnant,"" she told Harper's Bazaar. ""I have so many people I love who've had such a hard time with it that I want to be respectful around that as well. It's such a beautiful, joyous thing, and it's also not an easy thing."" She also said she is feeling good physically, with ""more energy than I thought I might."" Portman's upcoming projects include Cathy Yan's ""The Gallerist,"" about an unusual art world caper, and Lena Dunham's ""Good Sex"" on Netflix.",Entertainment
"After a hiatus of fourteen years, renowned Darjeeling-based singer Pawan Gole is set to feature at Nepalaya's Paleti at 'r' Sala in Kalikasthan, Kathmandu. In a statement, Nepalaya said, ""Singer Pawan will grace the stage with a blend of both his classic and contemporary compositions."" In this edition, Gole will present works featuring a new composition by Suvarna Limbu, Paras Gajmer, Basanta Chhetri, Pradeep Chhetri, and Ramesh Gurung. The lyrical repertoire showcased in his Paleti presentation includes works by Shivashankar Thapa, Naraden Rumba, Jitendra Bardewa, Jas Yonjan Pyasi, Puran Giri, Suren Thing, Sanjay Bantawa, Sanjay Bista, Kalusingh Ranpaheli, Pramod Snehi, and Arun Tiwari.",Entertainment
"According to the statement, singer Gole is a well-recognised figure among Nepali-speaking audiences, particularly known for his widely popular song ""Hawasanga Bagu Bhanchha, Paatasanga Bolu Bhanchha,"" rendered in his distinctive vocal style. He has remained an active and enduring presence in the musical landscape of Darjeeling for several years. Recalling his first appearance at Paleti in 2012, Gole said, ""The beautiful experience of performing at Paleti back then still lingers vividly in my heart, and I find myself once again on this stage. This time, I am accompanied by my younger brother, composer Ramesh Gurung. I am hopeful that my creative work will continue to receive generous appreciation from both new and long-standing audiences."" He was seen smiling warmly, as stated in the statement. The Paleti programme is scheduled to take place on April 24 and 25-the last Friday and Saturday of the month-at Nepalaya's 'r' Sala in Kalikasthan. Tickets are available online via www.paleti.com.np",Entertainment
"For music enthusiasts unable to attend in person, a Pay-Per-View live streaming option has also been made available. Viewers can access the performance by clicking the ""Purchase Live Access"" button on the Paleti website and completing the payment through their preferred digital wallet, Nepalaya stated. ""Paleti"" is a long-running musical initiative established with a focus on promoting Nepali modern music. It has been continuously organised for the past 21 years, earning recognition as a significant and enduring platform in Nepal's contemporary music scene.",Entertainment
"Nepal's premier folk-rock band Nepathya has entertained members of the Nepali diaspora in Sudbury, Ontario, Canada. In a statement, the band's management company Nepalaya said that although Sudbury lies nearly 400 kilometres from Toronto, it has, in recent years, become home to around 2,000 Nepalis, compared to a much smaller community in the past. Sudbury, a peaceful city blanketed in snow, marked the beginning of Nepathya's Canada tour, which opened with an enthralling performance at the Sudbury Community Arena.",Entertainment
"At the concert, singer Amrit Gurung performed a selection of songs ranging from the band's popular hits to compositions rich in national sentiment. While performing songs that vividly depicted Nepal's natural beauty, he also encouraged the audience to go trekking when visiting Nepal. On stage, Amrit Gurung was accompanied, as always, by Dhruv Lama on drums, Subin Shakya on bass guitar, Niraj Gurung on guitar, Shanti Rai on madal, and Dineshraj Regmi on keyboards. The second performance is scheduled to take place in Toronto, Canada's main commercial hub, on Monday, April 13, at the Queen Elizabeth Theatre, reads the statement.",Entertainment
"Asha Bhosle, one of India's most versatile Bollywood singers whose performances shaped the country's musical memory and modern cinema, has died. She was 92. The legendary singer across genres died Sunday of multiple organ failure at Breach Candy Hospital in Mumbai, Pratit Samdani, a physician at the hospital said. Her son, Anand Bhosle, told reporters that her last rites will be performed on Monday. Asha was admitted at the hospital on late Saturday with a chest infection and exhaustion, her granddaughter Zanai Bhosle said in a social media post.",Entertainment
"Asha's timeless voice resonated across a film-obsessed India for nearly eight decades, recorded on about 12,000 songs. She boldly embraced cabaret and Western-influenced melodies to forge a distinct musical identity that stood uniquely apart from her sister, Lata Mangeshkar, herself a legendary voice revered as the ""Melody Queen."" Asha's death was widely condoled. ""I am deeply saddened"" by her passing, Indian Prime Minister Narendra Modi said in a social media post.",Entertainment
"""Her unique musical journey spanning decades has enriched our cultural heritage and touched the hearts of countless people around the world,"" Modi said. ""From soulful melodies to spirited compositions, her voice carried a timeless brilliance."" Born on Sept. 8, 1933, Asha Bhosle was initiated into music by her father Dinanath Mangeshkar, who was also a trained singer. All her four siblings became accomplished singers and musicians. Asha's first marriage, in 1949, ended in separation in 1960. Her second marriage was to iconic music composer R.D. Burman in 1980. She is survived by a son and grandchildren.",Entertainment
"Tens of thousands of BTS fans packed into a stadium near Seoul on Thursday to see the K-pop supergroup kick off their long-awaited world tour. Returning to the stage after a nearly four-year hiatus, RM, Jin, Suga, j-hope, Jimin, V and Jung Kook will perform a set drawing from both their catalog and new fifth album, ""ARIRANG,"" their first since band members completed South Korea's mandatory military service. Despite pouring rain, the band's fans - including some hailing from Russia, the United States and Brazil - packed a stadium with a capacity for over 40,000 for the show, which marks the group's first headline tour performance since their 2021–22 Permission to Dance on Stage tour.",Entertainment
"Over a hundred fans, including some who had failed to get tickets, stood outside the stadium with umbrellas to listen to the band perform. Kim Eunhee, a South Korean fan who came with her 30-year-old daughter, said the hope of attending a live BTS concert helped her power through her battle with cancer. ""Even during my hardest times last year while fighting it, this was the one thing I kept waiting for,"" she said. ""Coming to an actual concert venue and seeing them in person for the first time - it was just so meaningful.""",Entertainment
"The shows in South Korea, running through April 12, launch a global tour spanning dozens of shows across the United States, Europe and Asia, which analysts say could generate hundreds of million s of dollars in revenue per quarter. The concert comes less than a month after BTS marked their comeback with a free concert at Seoul's Gwanghwamun Square. All seven members of BTS completed their mandatory military service, with Suga being the last to be discharged in June 2025. He reportedly served at government-related facilities and organizations instead of military camps due to a shoulder injury.",Entertainment
"In South Korea, all able-bodied men between 18 and 28 years old are required by law to perform up to 21 months of military service under a conscription system meant to deter aggression from rival North Korea. ""ARIRANG"" - named after a centuries-old Korean folk song regarded as an unofficial anthem across the Korean peninsula - debuted at No. 1 on the Billboard 200. The single ""Swim"" also made it to the top of the charts. BTS - short for Bangtan Sonyeondan, or ""Bulletproof Boy Scouts"" in Korean - debuted in June 2013. The seven-member group launched in 2013 with the hip-hop heavy single album ""2 Cool 4 Skool,"" releasing three full-length projects before gaining momentum with their 2016 album ""Wings.""",Entertainment
"Their global breakthrough came in 2017 when ""DNA"" entered the Billboard Hot 100, making BTS the first Korean boy band to achieve such a feat. The song's success was followed by a performance at the American Music Awards, further fueling their international fan base called ""Army."" The band's world tour heads to Tokyo next, before moving through North America, Europe, South America and Asia. BTS is set to play Australian in early 2027, with a final stop in Manila next March.",Entertainment
"A lawsuit says Taylor Swift's ""The Life of a Showgirl"" stole the spotlight from the life of a real one. Maren Wade says in the trademark infringement lawsuit filed Monday in federal court in California that the branding of Swift's 2025 album comes too close to her own trademark of ""Confessions of a Showgirl."" That was the name of a column she wrote on backstage Sin City life in the Las Vegas Weekly starting in 2014, which she turned into a live show that she took on a national tour. ""Both share the same structure, the same dominant phrase, and the same overall commercial impression,"" the lawsuit says. ""Both are used in overlapping markets and are directed at the same consumers.""",Entertainment
"Wade is described as a ""singer, songwriter, comedian, and writer"" in the lawsuit filed under her legal name, Maren Flagg, and her ""Showgirl"" brand encompasses performances, writing and digital media. ""The Life of a Showgirl,"" the stadium-packing superstar's 12th studio album, released in October, sold 4 million copies in its first week. Its cover features her in Las Vegas cabaret garb, submerged in water with her current favorite color scheme of orange and mint green. On Tuesday, the morning after the lawsuit was filed, Swift dropped the newest video for the album for the album's track ""Elizabeth Taylor,"" featuring archival footage of the Hollywood luminary who died in 2011. Wade appeared to embrace Swift's use of the showgirl image initially, sharing Instagram posts that used Swift's music, hashtags related to the album, and the mint green color scheme. But Wade's social media presence has gone silent in recent months.",Entertainment
"Also named as defendants in the lawsuit are the company that manages Swift's trademarks, her record label and its merchandising arm. The lawsuit says the album, its promotion and the products surrounding it caused ""textbook reverse confusion: a junior user's overwhelming commercial presence drowns out the senior user's mark, until consumers begin to assume that the original is the imitation. What Plaintiff had built over twelve years, Defendants threatened to swallow in weeks."" A representative for Swift declined comment on the lawsuit.",Entertainment
"Wade and her attorney say that the existence and trademark of ""Confessions of a Showgirl"" would not have escaped the notice of Swift's team. The lawsuit says the U.S. Patent and Trademark Office declined to grant a trademark registration to ""Life of a Showgirl"" over potential confusion with the existing trademark. ""Defendants were therefore placed on actual notice that their chosen designation was likely to be confused with a mark that already belonged to someone,"" the lawsuit says. ""They continued using it anyway.""",Entertainment
"A letter issued by the office in early March says the application was suspended due to potential confusion with another pending trademark filed earlier, for ""Showgirl,"" by a third party and pertaining to perfume. It also cited a ""Likelihood of Confusion Refusal"" based on the existing ""Confessions"" trademark. The lawsuit seeks an injunction permanently barring Swift and her companies from using the ""Life of a Showgirl"" name and imagery, and monetary damages to be determined at trial, including profits attributable to the use of the brand.",Entertainment
"Nepathya, Nepal's premier folk-rock band, is set to perform across three cities in Ontario, Canada, including Toronto, next week. In a press statement issued today, the band's management company Nepalaya said the tour will begin with the first performance in Sudbury on April 10, followed by Toronto three days later, and conclude with the final concert in London, Ontario, on April 18. Tickets for the Toronto concert have already been sold out, while sales for the remaining venues are reportedly filling up fast.",Entertainment
"According to Nepalaya, the band will perform at the Sudbury Community Arena in Sudbury, the Queen Elizabeth Theatre in Toronto, and the London Music Hall in London, Ontario, as part of the tour. ""We are deeply encouraged by the overwhelming enthusiasm shown by Nepalis residing in Canada,"" said band frontman and lead vocalist Amrit Gurung. ""During the New Year period, we will take the stage carrying heartfelt memories of home and immense love from our homeland."" At all three concerts, Gurung will, as always, be accompanied by Dhruva Lama on drums, Subin Shakya on bass guitar, Niraj Gurung on guitar, Shanti Rayamajhi on madal, and Dineshraj Regmi on keyboards.",Entertainment
"Tickets for the Sudbury and London shows are still available and can be secured through the band's official website, nepathya.com.np, according to the statement.",Entertainment
